NAME,ADDRESS,CITY,STATE,ZIP,PHONE,URL,Cuisines,Rating
Pho Tan,"1281 1st St S, Winter Haven",Winter Haven,FL,33880,(863) 662-4200,,Vietnamese,1
50s Prime Time Cafe,Walt Disney World,Orlando,FL,32830,,50sprimetimecafe.com,American,4
'Lando Sam's,60 S. Ivanhoe Blvd.,Orlando,FL,32804,(407) 425-4455,landosams.com,American ,2
'Puter Coffee Cup,7410 Gulf Blvd,St Pete Beach,FL,33706,(727) 367-4200,putercoffeecup.com,FastFood ,1
#1 Cafe Incorporated,11500 NE 2ND Ave,Miami,FL,33161,(305) 757-9970,1cafeincorporated.com,Burger Coffee,1
#1 Chinese Restaurant,2400 Southwest College Road Suite 105,Ocala,FL,34474,(352)237-0909,1chineserestaurant.com,Chinese,5
#1 Chinese Take Out,931 North State Road 434,Altamonte Springs,FL,32714,(407)869-8808,1chinesetakeout.com,Chinese,4
#1 Chinese Take Out,931 Florida Blvd  #434,Altamonte Springs,FL,32701,(407) 869-8808,1chinesetakeout.com,Chinese,5
#1 Kissimmee Chinese Restauranttt,1550 West Vine Street,Kissimmee,FL,34741,(407)944-4888,1kissimmeechineserestauranttt.com,Chinese,2
#1 Wok,1080 East Highway 50,Clermont,FL,34711,(352)394-7708,1wok.com,Chinese,3
#1 Wok,22088 South Tamiami Trail,Estero,FL,33928,(239)948-8388,1wok.com,Chinese,3
#1 Wok,15880 Summerlin Road,Fort Myers,FL,33908,(239)415-8838,1wok.com,Chinese,1
#1 Wok,4350 Thomasson Lane,Naples,FL,34112,(239)530-1888,1wok.com,Chinese,2
051 SUBS,895 WSR 434    Winter Springs,Casselberry,FL,32707,,051subs.com,Sandwich,5
051 Subs,895 W State Rd 434,Winter Springs,FL,32708,(407) 696-2051,051subs.com,Deli ,2
1 Fresh Stirfry,1820 North Monroe Street,Tallahassee,FL,32303,(850)422-2111,1freshstirfry.com,Asian PanAsian American,3
1-6-8 Chinese Restaurant,7721 Turkey Lake Road,Orlando,FL,32819,(407)363-1688,168chineserestaurant.com,Chinese,2
10 Best Restaurants.Com,476 Pine Avenue,Naples,FL,34108,(239)514-4116,10bestrestaurants.com.com,American,2
100 Italian Rstrnt   Pizzaria,1781 Dunlawton Ave,Port Orange,FL,32127,(386) 322-9887,100italianrstrntpizzaria.com,Pizza,1
1111 Sushi Thai,1111 East Hallandale Beach Blv,Hallandale,FL,33009,(954)455-9200,1111sushithai.com,Thai,2
11th St Restaurant   Lounge,1305 11th St N,Haines City,FL,33844,(863)421-8671,11thstrestaurantlounge.com,Bar   Grill ,4
11th Street Restaurant,1305 N 11TH St,Haines City,FL,33844,(863) 421-8671,11thstreetrestaurant.com,American,1
1200 at the Biltmore,1200 Anastasia Ave,Coral Gables,FL,33134,(305) 445-1926,1200atthebiltmore.com,Mediterranean ,3
1201 Grill,1201 NW 42ND Ave,Miami,FL,33126,(305) 643-0346,1201grill.com,Italian,5
1220 at the Tides,1220 Ocean Drive,Miami Beach,FL,33139,(305) 604-5070,1220atthetides.com,American ,2
123 BBQ Take Out,7751 West 28th Avenue,Hialeah,FL,33016,(305)827-4224,123bbqtakeout.com,Barbecue ,5
123 Cafeteria Restaurant,1249 SW 22ND St,Miami,FL,33145,(305) 285-1012,123cafeteriarestaurant.com,Mexican ,1
126 Chinese Restaurant,8687 West Irlo Bronson Memoria,Kissimmee,FL,34747,(407)239-8885,126chineserestaurant.com,Chinese,3
128 Chinese Restaurant,1028 Buenaventura Boulevard,Kissimmee,FL,34743,(407)348-3838,128chineserestaurant.com,Chinese,5
128 Chinese Restaurant,1028 Buenaventura Blvd,Okeechobee,FL,34972,(407) 348-3838,128chineserestaurant.com,Chinese,5
